,player_id,team_id,fixture_id,minutes,position,rating,goals,passes,tackles,duels,dribbles
352,627,50,710564,,D,,,,,,
353,622,50,710564,,D,,,,,,
354,626,50,710564,,D,,,,,,
355,641,50,710564,11.0,D,6.6,,15.0,,1.0,
356,636,50,710564,,M,,,,,,
357,629,50,710564,11.0,M,7,,12.0,1.0,6.0,3.0
358,44,50,710564,,M,,,,,,
359,643,50,710564,20.0,F,6.9,,5.0,,3.0,1.0
360,44775,38,710565,90.0,G,6,,25.0,,,
361,18793,38,710565,90.0,D,6.3,,28.0,2.0,7.0,
362,2773,38,710565,90.0,D,6.2,,43.0,,5.0,
363,18797,38,710565,90.0,D,6.7,,41.0,,5.0,
364,18799,38,710565,90.0,D,6.5,,34.0,1.0,11.0,2.0
365,2774,38,710565,90.0,M,7.2,,36.0,2.0,13.0,3.0
366,2218,38,710565,90.0,M,8,1.0,21.0,,15.0,4.0
367,18804,38,710565,79.0,M,6.6,,26.0,2.0,8.0,
368,31023,38,710565,69.0,M,7.2,,14.0,4.0,16.0,3.0
369,2860,38,710565,90.0,M,6.2,,19.0,2.0,15.0,2.0
370,80,38,710565,66.0,F,8.2,1.0,15.0,2.0,12.0,3.0
371,18791,38,710565,,G,,,,,,
372,193296,38,710565,,D,,,,,,
373,167,38,710565,,D,,,,,,
374,31016,38,710565,,D,,,,,,
375,21100,38,710565,,M,,,,,,
376,18874,38,710565,21.0,M,6.2,,8.0,,4.0,
377,18808,38,710565,11.0,F,6.3,,2.0,,6.0,
378,19251,38,710565,,F,,,,,,
379,47582,38,710565,24.0,F,6.9,1.0,5.0,,10.0,1.0
380,19599,66,710565,90.0,G,6.5,,25.0,,,
381,19298,66,710565,90.0,D,7.2,,64.0,4.0,12.0,
382,19354,66,710565,90.0,D,6.7,,80.0,1.0,12.0,1.0
383,19179,66,710565,90.0,D,6.9,,85.0,,10.0,2.0
384,18941,66,710565,45.0,D,6.2,,24.0,,4.0,
385,19191,66,710565,90.0,M,7.5,1.0,36.0,2.0,10.0,1.0
386,76,66,710565,90.0,M,6.5,,52.0,2.0,18.0,3.0
387,19195,66,710565,60.0,M,5.9,,10.0,,10.0,
388,19071,66,710565,72.0,M,5.9,,30.0,1.0,11.0,1.0
389,894,66,710565,90.0,M,7,,51.0,,5.0,
390,18955,66,710565,90.0,F,6.9,1.0,13.0,,9.0,2.0
391,19174,66,710565,,G,,,,,,
392,19177,66,710565,,D,,,,,,
393,19182,66,710565,,D,,,,,,
394,19192,66,710565,45.0,M,6.5,,25.0,1.0,12.0,1.0
395,138935,66,710565,,M,,,,,,
396,671,66,710565,18.0,F,7.2,,8.0,1.0,9.0,4.0
397,84,66,710565,,F,,,,,,
398,138931,66,710565,,M,,,,,,
399,983,66,710565,30.0,F,7,,5.0,1.0,5.0,1.0
400,1438,42,710566,90.0,G,6.6,,19.0,1.0,3.0,
401,190,42,710566,90.0,D,6.6,,36.0,3.0,5.0,
402,1440,42,710566,90.0,D,6.9,,36.0,2.0,12.0,
403,46792,42,710566,90.0,D,7.5,,32.0,4.0,8.0,
404,1117,42,710566,66.0,D,6.2,,22.0,,,
405,1427,42,710566,90.0,M,6.7,,41.0,,3.0,
406,1464,42,710566,90.0,M,6.5,,41.0,3.0,15.0,2.0
407,3246,42,710566,90.0,M,6.7,,24.0,,9.0,3.0
408,1161,42,710566,90.0,M,6.9,,36.0,,9.0,5.0
409,1460,42,710566,61.0,M,6.3,,28.0,2.0,7.0,
410,127769,42,710566,79.0,F,6.6,,4.0,2.0,7.0,
411,20355,42,710566,,G,,,,,,
412,19016,42,710566,,D,,,,,,
413,41577,42,710566,24.0,D,6.6,,6.0,1.0,5.0,2.0
414,1442,42,710566,,D,,,,,,
415,1452,42,710566,,M,,,,,,
416,1456,42,710566,,M,,,,,,
417,138835,42,710566,11.0,F,6.7,,4.0,1.0,3.0,1.0
418,1465,42,710566,29.0,F,6.9,,6.0,1.0,3.0,
419,727,42,710566,,F,,,,,,
420,2986,49,710566,90.0,G,7.3,,36.0,,,
421,2280,49,710566,90.0,D,7.7,,86.0,3.0,7.0,
422,2282,49,710566,90.0,D,7.2,,87.0,,6.0,1.0
423,2285,49,710566,90.0,D,6.9,,70.0,,2.0,
424,19545,49,710566,90.0,M,9.2,1.0,57.0,3.0,9.0,
425,2289,49,710566,90.0,M,6.6,,69.0,2.0,10.0,
426,2291,49,710566,72.0,M,6.9,,69.0,1.0,4.0,
427,2278,49,710566,90.0,M,7.3,,46.0,,10.0,1.0
428,19220,49,710566,82.0,F,8.2,,41.0,1.0,8.0,3.0
429,978,49,710566,89.0,F,5.9,,44.0,,8.0,4.0
430,907,49,710566,90.0,F,7.9,1.0,20.0,,15.0,3.0
431,2273,49,710566,,G,,,,,,
432,259,49,710566,,D,,,,,,
433,2726,49,710566,,D,,,,,,
434,19720,49,710566,,M,,,,,,
435,2290,49,710566,18.0,M,6.9,,15.0,1.0,7.0,3.0
436,2933,49,710566,,D,,,,,,
437,1166,49,710566,1.0,F,,,,,1.0,1.0
438,548,49,710566,8.0,M,6.5,,6.0,,2.0,
439,2298,49,710566,,F,,,,,,
440,19599,66,710567,90.0,G,7.2,,24.0,,,
441,19298,66,710567,90.0,D,6.9,,32.0,3.0,11.0,
442,19354,66,710567,90.0,D,7.2,,26.0,,8.0,
443,19179,66,710567,90.0,D,7.7,,41.0,1.0,7.0,
444,894,66,710567,90.0,D,7,,40.0,1.0,7.0,1.0
445,19191,66,710567,90.0,M,7.2,,31.0,,8.0,
446,47522,66,710567,88.0,M,6.3,,32.0,1.0,10.0,
447,19192,66,710567,90.0,M,7.3,,23.0,3.0,10.0,1.0
448,19071,66,710567,86.0,F,7.2,,27.0,2.0,10.0,3.0
449,18955,66,710567,89.0,F,7.2,1.0,9.0,1.0,9.0,
450,19195,66,710567,90.0,F,7.2,1.0,13.0,1.0,4.0,1.0
451,19174,66,710567,,G,,,,,,
452,19177,66,710567,,D,,,,,,
453,18941,66,710567,,D,,,,,,
454,19182,66,710567,9.0,D,6.3,,1.0,,,
455,76,66,710567,,M,,,,,,
456,19188,66,710567,,M,,,,,,
457,138935,66,710567,,M,,,,,,
458,84,66,710567,1.0,F,,,2.0,,4.0,
459,138931,66,710567,11.0,M,6.2,,2.0,,4.0,
460,18889,34,710567,90.0,G,6,,26.0,,,
461,19163,34,710567,90.0,D,6.5,,20.0,3.0,9.0,
462,2806,34,710567,90.0,D,6.9,,53.0,1.0,7.0,
463,18894,34,710567,90.0,D,6.2,,39.0,,8.0,
464,18893,34,710567,78.0,D,6.9,,41.0,,2.0,
465,18903,34,710567,90.0,D,7,,40.0,2.0,11.0,
466,1463,34,710567,89.0,M,6.5,,22.0,1.0,9.0,3.0
467,18899,34,710567,45.0,M,6.7,,12.0,1.0,4.0,
468,2507,34,710567,90.0,M,6.3,,24.0,3.0,7.0,1.0
